Cell,Path,n,n success,n false,False-closure rate
N1,1,60,19,5,26.3%
N1,2,74,9,2,22.2%
M5,1,126,87,17,19.5%
M2,1,84,58,11,19.0%
M1,2,147,55,10,18.2%
M4,1,140,113,18,15.9%
H1,1,81,65,10,15.4%
H3,1,61,42,6,14.3%
M1,1,123,57,8,14.0%
M3,1,117,103,14,13.6%
H2,1,41,32,4,12.5%
H5,1,59,43,5,11.6%
H2,2,72,45,5,11.1%
M6,1,126,103,11,10.7%
H3,2,65,47,5,10.6%
